               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087203,            0.041043,            0.035783,            0.086573,            0.085699,            0.041387,             0.01457,            0.049289,            0.028862,            0.022165,            0.070857,           0.0032381,           0.0032381
                   1,            0.057761,            0.036993,            0.020341,             0.50631,             0.59789,             0.52359,             0.20304,            0.045302,             0.01681,           0.0091846,            0.040792,           0.0065064,           0.0065064
                   2,            0.056392,            0.027181,           0.0087632,             0.60485,             0.64241,             0.70432,              0.3301,            0.041732,            0.013114,           0.0037116,            0.010661,           0.0097086,           0.0097086
                   3,            0.048818,            0.022919,           0.0060123,             0.45368,             0.63571,             0.49708,             0.19258,            0.038079,            0.016081,           0.0036647,            0.009703,            0.009703,            0.009703
                   4,             0.04199,            0.019793,           0.0041346,              0.7114,             0.67241,             0.76044,             0.40781,            0.029807,             0.01214,            0.018609,            0.009703,            0.009703,            0.009703
                   5,            0.036838,            0.018065,           0.0034115,             0.87349,             0.91865,             0.95232,             0.63519,            0.029253,            0.009938,           0.0019757,            0.009604,            0.009604,            0.009604
                   6,            0.033138,            0.016994,           0.0031761,             0.95278,             0.95719,              0.9814,             0.70532,            0.023347,           0.0098789,           0.0023016,            0.009505,            0.009505,            0.009505
                   7,            0.031792,            0.017008,           0.0026156,             0.97908,             0.97398,             0.98083,             0.75223,            0.021116,           0.0080484,           0.0014272,            0.009406,            0.009406,            0.009406
                   8,            0.030645,            0.016737,            0.002639,             0.97801,             0.96053,             0.98083,             0.72536,            0.019553,           0.0095956,            0.001321,            0.009307,            0.009307,            0.009307
                   9,            0.029309,            0.015911,           0.0025142,              0.9657,              0.9362,             0.96799,             0.70956,            0.021848,            0.010596,           0.0015517,            0.009208,            0.009208,            0.009208
                  10,              0.0279,            0.015077,           0.0021445,             0.98181,             0.98899,             0.98541,             0.76531,            0.018574,           0.0079109,           0.0010898,            0.009109,            0.009109,            0.009109
                  11,            0.027015,            0.015421,           0.0020504,             0.98047,              0.9865,             0.98234,             0.76512,            0.018227,           0.0076999,           0.0013116,             0.00901,             0.00901,             0.00901
                  12,            0.025394,              0.0151,           0.0020743,             0.98119,             0.97907,             0.98661,             0.80452,             0.01637,           0.0074299,           0.0014449,            0.008911,            0.008911,            0.008911
                  13,            0.025918,            0.014742,           0.0017332,             0.98457,             0.98554,             0.98707,              0.7738,            0.019256,           0.0073031,           0.0010611,            0.008812,            0.008812,            0.008812
                  14,            0.024782,            0.014408,           0.0018711,             0.98523,             0.99385,             0.98643,             0.82206,            0.015324,           0.0069585,           0.0011256,            0.008713,            0.008713,            0.008713
                  15,            0.024969,            0.013808,           0.0016213,             0.98411,             0.99105,             0.98663,             0.79115,            0.016738,           0.0071194,           0.0011377,            0.008614,            0.008614,            0.008614
                  16,             0.02412,             0.01399,           0.0017019,              0.9856,             0.99115,             0.98639,             0.83135,            0.013711,           0.0065091,           0.0011371,            0.008515,            0.008515,            0.008515
                  17,            0.023413,            0.013937,           0.0019562,             0.96199,             0.90437,             0.96384,              0.7523,            0.017264,            0.010856,           0.0013407,            0.008416,            0.008416,            0.008416
